date,total_pnl,avg_pnl,num_trades,win_rate,fg_score,classification
2024-03-12,3039.166,379.89575,8,0.875,81.0,Extreme Greed
2024-03-13,0.0,0.0,7,0.0,81.0,Extreme Greed
2024-03-14,3465.865832,192.5481017777778,18,0.8888888888888888,88.0,Extreme Greed
2024-03-15,6236.513651,100.58892985483871,62,0.6612903225806451,83.0,Extreme Greed
2024-03-16,228.57984,28.57248,8,0.125,81.0,Extreme Greed
2024-03-17,503.293955,21.882345869565217,23,0.43478260869565216,79.0,Extreme Greed
2024-03-18,1456.9577,76.68198421052631,19,0.3157894736842105,77.0,Extreme Greed
2024-03-19,668.797973,27.86658220833333,24,0.20833333333333334,79.0,Extreme Greed
2024-03-20,6423.134599,93.08890723188406,69,0.8695652173913043,74.0,Greed
2024-03-21,2335.5080749999997,83.41100267857142,28,0.8214285714285714,78.0,Extreme Greed
2024-03-24,1297.018477,68.26413036842105,19,0.7894736842105263,74.0,Greed
2024-03-25,1302.916428,186.13091828571427,7,0.8571428571428571,75.0,Extreme Greed
2024-03-26,3215.906593,27.253445703389833,118,0.9322033898305084,81.0,Extreme Greed
2024-03-27,150.41114,3.9581878947368416,38,0.3157894736842105,83.0,Extreme Greed
2024-03-28,227.85100799999998,17.527000615384615,13,0.6923076923076923,80.0,Extreme Greed
2024-03-29,883.097404,58.873160266666666,15,0.4,79.0,Extreme Greed
2024-03-30,1100.57514,24.45722533333333,45,0.9777777777777777,75.0,Extreme Greed
2024-03-31,912.786145,70.21431884615384,13,0.7692307692307693,75.0,Extreme Greed
2024-04-01,2507.963406,32.57095332467532,77,0.5454545454545454,79.0,Extreme Greed
2024-04-02,883.760812,21.555141756097562,41,0.2926829268292683,79.0,Extreme Greed
2024-04-03,126.7884,31.6971,4,0.25,71.0,Greed
2024-04-04,0.0,0.0,32,0.0,70.0,Greed
2024-04-05,10706.484306,107.06484306,100,0.9,79.0,Extreme Greed
2024-04-06,236.33513399999998,14.770945874999999,16,0.25,75.0,Extreme Greed
2024-04-07,0.0,0.0,23,0.0,78.0,Extreme Greed
2024-04-08,1218.4267,40.614223333333335,30,0.03333333333333333,76.0,Extreme Greed
2024-04-09,0.0,0.0,3,0.0,80.0,Extreme Greed
2024-04-10,5207.443414,127.01081497560976,41,0.8780487804878049,78.0,Extreme Greed
